texto;nivel_riesgo
me siento feliz y tranquilo ;bajo 
hoy estoy preocupado por el examen ;medio 
me siento triste y desesperado ;alto
estoy contento con mi dia a dia ;bajo 
tengo miedo de fallar en el trabajo ;medio 
me siento deprimido no tengo ganas de nada ;alto
me siento motivado ;bajo 
no se si conseguire salir de esta ;medio 
tengo ganas de llorar no quiero despertarme ;alto
me siento tranquilo y en paz conmigo mismo ;bajo 
me siento inseguro sobre el futuro ;medio 
siento que todo esta mal ;alto
todo va bien en mi vida ;bajo 
estoy un poco estresado ultimamente ;medio 
me siento solo y sin apoyo ;alto
me siento optimista ;bajo 
tengo dudas sobre mis habilidades ;medio 
siento una gran desesperanza ;alto
estoy agradecido por lo que tengo ;bajo 
hoy no estoy seguro de mis decisiones ;medio 
no veo salida a mis problemas ;alto
estoy disfrutando de mi tiempo libre ;bajo
ultimamente me siento algo confundido ;medio
no tengo fuerzas para continuar ;alto
me siento lleno de energia positiva ;bajo
me siento nervioso por lo que pueda pasar ;medio
me cuesta levantarme cada mañana ;alto
me siento apoyado por mis amigos ;bajo
estoy preocupado por mi salud ;medio
todo parece oscuro y sin solucion ;alto
estoy contento con mis progresos ;bajo
me siento algo perdido ;medio
quisiera desaparecer ;alto
todo marcha de forma adecuada ;bajo
me siento abrumado por responsabilidades ;medio
me siento totalmente desesperado ;alto
estoy animado y con ganas de avanzar ;bajo
estoy atravesando dias dificiles ;medio
me siento profundamente triste ;alto
que bonito es vivir ;bajo
estoy lidiando con estres constante ;medio
no puedo mas quiero que todo termine ;alto
estoy sereno frente a los cambios ;bajo
me siento vulnerable ;medio
no quiero hablar con nadie ;alto
me siento fuerte para afrontar problemas ;bajo
me siento algo solo ultimamente ;medio
me siento atrapado sin salida ;alto
estoy ilusionado con nuevos proyectos ;bajo
me siento frustrado por algunos errores ;medio
no tengo ilusion por nada ;alto

